objectid,filename,format,title,subject,description,creator(s),associated name(s),date,language,location,document type,marginalia,publisher,genre/form
coll001,coll001.jpg,image/jpg,Cookbook of Mary Puleston,"Pre-1700, cookbooks, manuscript, domestic writing, family books, handwritten","Handwritten cookbook compiled by Mary Puleston, bound","Pueston, Mary",,,English,,Manuscript,,,"Cookbook, Manuscript (documents)"
coll002,coll002.jpg,image/jpg,"The learned maid; or, Whether a maid may be a scholar? : A logick exercise written in Latine by that incomparable virgin Anna Maria à Schurman of Vtrecht. With some epistles to the famous Gassendus and others","Pre-1700, education, print, London, scholar, women’s rights","Treatise on women’s right to education, printed in 1659, bound","Schurman, Anna Maria van","Barksdale, Clement",1659,English,"London, England",Print,,"Redmayne, John","Education, Print"
coll003,coll003.jpg,image/jpg,"Copy of Poems by the most deservedly admired Mrs Katherine Philips, the matchless Orinda","Pre-1700, Poetry, Katherine Philips, Orlinda, Manuscript, Handwritten  ","Copy of poems by Katherine Philips from 1670, one scanned page, unbound","Philips, Katherine",Orlinda,1670,English,,Manuscript,,,"Poetry, Manscript (documents)"
coll004,coll004.jpg,image/jpg,Miscellany Poems with Two Plays by Ardelia,"Pre-1700, Poems, Poetry, Winchildea, Anne Kingsmill Finch, Miscelleny, Female poets, Woman, Female Authors, Renaissance, Early Modern poetry","Handwritten Miscellany poetry by Anne Finch, Countess of Winchilsea.","Winchilsea, Anne Kingsmill Finch, Countess of","Dobell, P. J, 
Garnett, Richard, Gosse, Edmund",1685-1702,English,,Manuscript,,,"Letters (correspondence)
Plays (performing arts compositions)
Poetical miscellanies
Manuscripts (documents)"
coll005,coll005.jpg,image/jpg,"A mouzell for Melastomus, the cynicall bayter of, and foule mouthed barker against Euahs sex. Or an apologeticall answere to that irreligious and illiterate pamphlet made by Io. Sw. and by him intituled, The arraignement of women. By Rachel Speght","Pre-1700, Essays, Rachel Speght, Women, woman, education, women's rights","Treatise on women's rights, published in response to John Swetnam's pamphlet, The Arraignment of Women. Printed. ","Speght, Rachel","Archer, Thomas, 
Swetnam, Joseph",1616,english,"London, England",Print,,"Okes, Nicholas","Essays, Print"
coll006,coll006.jpg,image/jpg,"Copy of On the first discovery of falseness in Amintas, ca. 1700.","Pre-1700, Poetry, Aphra Behn, Manuscript, Handwritten  ","Poems by Aphra Behn from before 1700, handwritten, unbound","Behn, Aphra","Tallemant, Paul",1700,English,,Manuscript,,,"Poems, Poetry, Manuscript (documents)"
coll007,coll007.jpg,image/jpg,"Oroonoko: or, The royal slave. : A true history. By Mrs. A. Behn","Pre-1700, Aphra Behn, Enslavement, Colonialism, Novel","Novel by Aphra Behn from 1688, print","Behn, Aphra",,1688,English,"London, England",Print,,,"Novel, Print"
coll008,coll008.jpg,image/jpg,"La nobilita, et l'eccellenza delle donne, co' diffetti, et mancamenti de gli huomini / discorso di Lucretia Marinella ; in due parti diuiso","Pre-1700, Treatise, Courtesy books, Women, Women's rights, ","Treatist on women's rights by Lucretia Marinella from 1601, printed, unbound","Marinella, Lucrezia",,1601,Italian,"Venice, Italy  ",Print,,"Ciotti, Giovanni Battista","Courtesy books, Treatise, Print"
coll009,coll009.jpg,image/jpg,"The accomplish'd ladies delight in preserving, physick, beautifying, and cookery. : Containing, I. The art of preserving, and candying fruits and flowers, and the making of all sorts of conserves, syrups, and jellies. II. The physical cabinet, or excellent receipts in physick and chirurgery, together with some rare beautifying waters, to adorn and add loveliness to the face and body: and also some new and excellent secrets and experiments in the art of angling. III. The compleat cooks guide, or, directions for dressing all sorts of flesh, fowl, and fish, both in the English and French mode, with all sauces and sallets; and the making pyes, pasties, tarts, and custards, with the forms and shapes of many of them","Pre-1700, Frontispiece, Cooking, Recipes, Beauty, Personal, Print, Household manual","Frontispiece of a household manual by Hannah Woolley from 1684, printed. ","Woolley, Hannah","Heseltine, William Keale",1684,English,"London, England",Print,"Ownership Marks, Annotated","Harris, Benjamin","Household manual, Recipes, Cookbook"
coll010,coll010.jpg,image/jpg,"The queen-like closet: or, Rich cabinet : stored with all manner of rare receipts for preserving, candying and cookery. Very pleasant and beneficial to all ingenious persons of the female sex. To which is added, A supplement, presented to all ingenious ladies, and gentlewomen. By Hannah Woolley","Pre-1700, Cooking, Recipes, Beauty, Personal, Print, Household manual","Household manual by Hannah Woolley from 1684, print","Woolley, Hannah",,1684,English,"London, England",Print,,,"Household manual, Recipes, Cookbook"
